"","day","hour","PRES_hourly","SPED_hourly","DIR_hourly","T_hourly","RH_hourly"
"78","2016-01-04",5,97398.8888888889,5.4358333296246,193.463479507856,-266.701111857096,93.0851851004141
"79","2016-01-04",6,97379.1944444444,5.16750001443757,192.96256823667,-266.437071550919,90.91707544553
"80","2016-01-04",7,97358.6388888889,5.46361111005147,196.526387720865,-266.333056471083,93.3872221628825
"81","2016-01-04",8,97357.9444444445,5.66750000119209,198.238510040023,-265.930001576741,92.3177777820163
"82","2016-01-04",9,97376.8333333333,5.63750000397364,203.039400469341,-265.632773929172,91.3033334096273
"83","2016-01-04",10,97389.4444444444,5.72111110554801,210.213424280718,-264.757780032688,87.8002778159247
"84","2016-01-04",11,97376.6111111111,4.86888889736599,205.339939408791,-264.414161851671,89.1752780278524
"85","2016-01-04",12,97347.5555555555,5.67694443994099,216.628273121607,-263.41999935574,84.2583332697551
"86","2016-01-04",13,97339.1388888889,5.15861111481984,226.247629364714,-263.261387973361,82.3324999491373
"87","2016-01-04",14,97359.8611111111,4.41333333055178,218.45953052081,-264.107780032688,84.8011111789279
"88","2016-01-04",15,97371.7222222222,4.88694443768925,213.520141555687,-264.235834333632,82.0488891177707
"89","2016-01-04",16,97391.0833333333,4.63055554032326,200.245273413713,-265.130277167426,85.6991669972737
"90","2016-01-04",17,97405.3888888889,4.96055555343628,202.028578125371,-265.154073983652,86.0392590558087
"91","2016-01-04",18,97404.25,4.32222222950723,197.795963283207,-265.63875898154,89.5640884575623
"92","2016-01-04",19,97387.0277777778,4.68194444444444,192.601996242251,-266.058060201009,90.5758332782322
"93","2016-01-04",20,97370.6944444444,4.85083333849907,191.015781080415,-265.773607126872,89.7008332358466
"94","2016-01-04",21,97335.8611111111,5.50583334565163,185.680769284085,-265.348883904351,90.9511110729642
"95","2016-01-04",22,97299.3888888889,5.12027777896987,189.497606604019,-265.245269860161,95.0772222730848
"96","2016-01-04",23,97285.6388888889,4.58916666309039,191.268333117019,-265.266658698188,95.3158334096273
"97","2016-01-05",0,97287.5758426966,4.24651060537452,192.004931281092,-265.444939473089,95.3625404765097
"98","2016-01-05",1,97282.4722222222,3.30000000198682,178.757985741026,-265.780828603108,96.2197222603692
